epoch,accuracy,loss,val_accuracy,val_loss
0,0.20687243342399597,3.9786336421966553,0.23283950984477997,3.6298229694366455
1,0.232016459107399,3.3634917736053467,0.24028806388378143,3.4011056423187256
2,0.2625514268875122,3.2245686054229736,0.27481481432914734,3.2582552433013916
3,0.2665432095527649,3.18099045753479,0.26946502923965454,3.221198558807373
4,0.26197531819343567,3.1519579887390137,0.29872429370880127,3.061131715774536
5,0.2795884907245636,3.09801983833313,0.3130864202976227,3.020207405090332
6,0.28555554151535034,3.0852084159851074,0.31699588894844055,2.995182514190674
7,0.3037448525428772,3.0041258335113525,0.3074485659599304,2.9597508907318115
8,0.3060082197189331,2.9957594871520996,0.3332098722457886,2.9085001945495605
9,0.31827160716056824,2.969411611557007,0.32366254925727844,2.9659478664398193
10,0.32320988178253174,2.95420503616333,0.37432098388671875,2.759798049926758
11,0.3297942280769348,2.9304211139678955,0.3512345552444458,2.8357021808624268
12,0.3430864214897156,2.875002145767212,0.36843621730804443,2.757262945175171
13,0.3580246865749359,2.8160409927368164,0.38646090030670166,2.69707989692688
14,0.3616460859775543,2.817906618118286,0.38246914744377136,2.699465036392212
15,0.3776954710483551,2.7384181022644043,0.4017695486545563,2.648838758468628
16,0.39897119998931885,2.6555323600769043,0.4053909480571747,2.6335201263427734
17,0.41411522030830383,2.590702772140503,0.410411536693573,2.630922317504883
18,0.42773663997650146,2.533567428588867,0.41378599405288696,2.6141741275787354
19,0.4337448477745056,2.4897360801696777,0.413991779088974,2.6021623611450195
20,0.44329217076301575,2.4297142028808594,0.4349382817745209,2.532932758331299
21,0.46037036180496216,2.355612277984619,0.4394238591194153,2.5670297145843506
22,0.46436214447021484,2.329292058944702,0.4475720226764679,2.503970146179199
23,0.47864198684692383,2.2602686882019043,0.4452263414859772,2.4958388805389404
24,0.48851850628852844,2.2186498641967773,0.4520987570285797,2.464787721633911
25,0.4927983582019806,2.199354648590088,0.44740739464759827,2.4968485832214355
26,0.4969958961009979,2.1784684658050537,0.45366254448890686,2.490190267562866
27,0.507119357585907,2.1274945735931396,0.4525925815105438,2.49434232711792
28,0.5117695331573486,2.103072166442871,0.4573662579059601,2.471461296081543
29,0.5188477635383606,2.070692300796509,0.46259260177612305,2.456134796142578
30,0.5244032740592957,2.0388693809509277,0.4620164632797241,2.4579365253448486
31,0.5294650197029114,2.011819839477539,0.4645267426967621,2.4500792026519775
32,0.5370782017707825,1.9851924180984497,0.46802470088005066,2.4501590728759766
33,0.5405349731445312,1.9619536399841309,0.467613160610199,2.4446589946746826
34,0.5460493564605713,1.9401389360427856,0.4681481420993805,2.447876214981079
35,0.5525514483451843,1.916013479232788,0.47144031524658203,2.43546462059021
36,0.554897129535675,1.901585340499878,0.4695473313331604,2.443896532058716
37,0.5604938268661499,1.8841304779052734,0.47209876775741577,2.4430530071258545
38,0.5658436417579651,1.865394115447998,0.47419753670692444,2.4375436305999756
39,0.5702880620956421,1.848786473274231,0.47325101494789124,2.4375674724578857
40,0.5702469348907471,1.8382976055145264,0.47518518567085266,2.4389376640319824
41,0.5755143761634827,1.8281033039093018,0.47337448596954346,2.4436793327331543
42,0.5776543021202087,1.8138939142227173,0.4770370423793793,2.4409825801849365
43,0.5802057385444641,1.803200602531433,0.4756790101528168,2.4426891803741455
44,0.580781877040863,1.7941573858261108,0.4768312871456146,2.4402883052825928
45,0.5822633504867554,1.7868022918701172,0.4762139916419983,2.4441885948181152
46,0.5846502184867859,1.7791037559509277,0.47609052062034607,2.4465527534484863
47,0.5858024954795837,1.7728248834609985,0.4767901301383972,2.4468331336975098
48,0.5877366065979004,1.76699697971344,0.4779423773288727,2.4462485313415527
49,0.588477373123169,1.7625744342803955,0.47687241435050964,2.448821544647217
